NO_OF_FRAMES	1561
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:28:43	103157.88783225
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
652	6.51000	-50.362	-118.140	1288.909	129.109	114.326	1155.709	223.441	238.595	834.120	173.650	214.421	574.370	-204.668	134.720	1164.058	-287.581	227.315	836.557	-235.854	191.516	568.799	163.348	496.632	874.337	153.904	349.447	492.298	160.771	382.714	81.702	116.068	440.185	41.955	177.707	277.896	27.662	97.764	186.423	31.229	-199.794	510.413	895.870	-204.649	355.769	495.418	-188.530	413.159	70.105	-138.328	462.887	31.542	-219.295	306.197	32.913	-145.971	203.205	31.460
653	6.52000	-51.713	-119.412	1283.903	127.541	112.626	1150.635	222.807	238.165	829.873	173.368	214.606	569.921	-205.712	132.847	1158.794	-288.696	225.988	831.576	-235.938	191.392	564.789	163.015	498.091	874.161	153.424	348.309	493.174	163.241	383.384	83.641	117.431	439.900	43.127	177.912	277.580	27.835	97.131	186.862	31.175	-200.455	511.532	894.805	-205.248	355.103	495.291	-188.237	412.962	69.800	-138.370	462.827	31.640	-219.437	306.343	32.916	-146.238	203.362	31.379
654	6.53000	-52.725	-120.638	1278.262	126.527	110.898	1145.073	222.199	237.233	824.644	172.885	214.361	564.848	-206.478	131.002	1153.093	-289.514	225.206	826.567	-235.917	190.390	559.279	162.676	499.535	873.878	153.581	346.974	494.359	164.257	382.665	85.080	118.411	439.688	44.411	178.196	277.026	27.969	97.033	187.309	31.200	-201.012	512.746	893.738	-205.484	354.249	494.911	-188.329	413.036	69.734	-137.761	462.585	31.375	-219.378	306.400	32.811	-146.363	203.282	31.408
655	6.54000	-53.449	-121.971	1272.108	124.880	109.214	1138.880	221.972	236.794	820.266	172.407	214.110	559.885	-207.224	129.011	1147.122	-290.228	224.151	821.011	-236.455	190.422	553.073	162.278	500.724	873.608	153.503	345.515	495.197	164.719	380.760	85.985	120.806	439.437	45.835	178.866	276.624	27.961	96.617	187.528	31.240	-201.348	513.917	892.655	-205.919	353.450	494.731	-188.208	412.916	69.885	-138.112	462.983	31.301	-219.379	306.389	32.956	-146.558	203.265	31.149
656	6.55000	-54.501	-123.534	1265.767	124.205	107.198	1133.059	221.113	236.050	814.662	172.543	214.149	554.514	-207.753	127.311	1140.630	-290.696	223.093	814.258	-235.917	189.477	547.909	162.034	502.188	873.312	153.610	344.140	496.003	167.614	381.182	87.744	124.574	439.753	47.552	179.635	276.318	27.729	96.276	188.188	31.453	-201.610	515.029	891.794	-206.669	352.814	494.593	-188.280	412.720	69.875	-138.290	463.052	31.551	-219.199	306.500	32.896	-146.524	203.260	31.239
657	6.56000	-55.049	-124.925	1258.910	122.940	105.115	1126.842	220.636	235.205	808.574	172.673	213.976	548.900	-208.266	125.548	1134.029	-291.160	221.836	808.388	-236.801	189.798	540.818	161.824	503.617	872.860	153.754	342.928	496.409	170.987	381.469	88.628	126.825	439.649	48.606	180.434	275.971	27.582	95.877	188.528	31.326	-201.814	516.168	890.683	-207.543	352.237	494.502	-188.264	412.687	69.717	-137.615	462.683	31.097	-219.385	306.484	32.944	-146.624	202.999	31.826
658	6.57000	-56.124	-126.210	1251.880	121.868	103.117	1120.404	220.464	233.913	803.449	172.003	213.385	543.009	-208.651	123.797	1126.991	-291.654	221.248	801.988	-236.360	189.413	534.916	162.100	504.979	872.307	153.724	341.577	497.058	172.427	381.113	89.610	127.583	439.264	49.180	181.016	275.630	27.499	95.618	188.647	31.124	-202.279	517.348	889.133	-208.069	351.813	494.178	-188.614	412.930	70.088	-137.892	462.615	31.560	-219.488	306.457	33.006	-146.480	203.270	31.224
659	6.58000	-56.668	-127.773	1244.422	121.055	100.992	1113.456	219.558	232.951	797.268	172.245	213.166	536.612	-208.963	122.020	1119.796	-292.022	219.880	795.959	-236.705	189.390	527.520	162.595	506.118	871.626	154.250	340.579	497.764	173.524	380.860	90.168	129.097	438.906	49.860	181.485	275.360	27.359	95.507	188.740	31.226	-202.451	518.434	888.216	-208.633	351.629	493.981	-188.506	412.810	70.081	-137.988	462.723	31.244	-219.541	306.569	32.777	-146.595	203.171	31.205
660	6.59000	-57.314	-129.301	1237.129	120.217	98.822	1106.464	219.886	231.215	790.599	172.583	212.741	530.088	-209.168	120.447	1112.394	-291.975	218.912	788.031	-235.727	188.659	521.249	163.055	507.289	870.936	154.406	339.897	498.158	174.316	380.476	90.595	130.383	438.666	50.312	182.010	275.244	27.099	95.699	188.786	31.471	-202.572	519.429	887.232	-209.203	351.606	493.830	-187.990	412.636	69.742	-137.917	462.641	31.282	-219.723	306.530	32.764	-147.041	202.874	31.396
661	6.60000	-57.997	-130.850	1229.147	119.367	96.480	1099.089	219.606	229.492	784.239	173.008	212.862	523.060	-209.358	118.866	1104.616	-291.758	217.108	781.138	-235.356	188.353	513.181	163.639	508.481	870.356	154.719	339.705	498.292	174.494	380.277	90.717	130.918	438.617	50.709	182.327	275.183	26.812	95.843	188.601	31.295	-202.403	520.878	886.079	-209.720	351.703	493.747	-188.085	412.660	69.619	-138.043	463.008	31.406	-219.761	306.714	32.661	-146.863	203.059	31.656
662	6.61000	-58.670	-132.698	1221.284	118.360	93.808	1091.682	219.555	227.759	777.200	173.160	212.162	516.285	-209.574	117.272	1096.875	-291.852	216.121	773.067	-234.676	188.056	506.843	164.335	509.729	869.407	154.936	339.628	498.290	174.545	380.405	90.654	130.507	438.461	50.751	182.385	275.166	26.725	95.785	188.375	31.173	-202.269	522.093	885.190	-210.194	352.009	493.760	-188.061	412.918	69.722	-138.103	462.932	31.431	-220.027	306.806	32.559	-146.922	203.049	31.411
