NO_OF_FRAMES	143
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2019-10-11, 16:13:24	102239.45178864
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
290	2.89000	77.421	221.835	1667.940	59.040	447.117	1389.610	79.030	549.371	1040.149	186.166	529.093	806.227	24.639	88.088	1351.260	27.771	10.184	1004.813	86.166	31.579	746.493	68.022	463.496	852.681	-19.819	424.234	462.984	-290.138	407.974	145.268	-356.435	357.584	142.439	-234.101	428.010	41.612	-142.857	356.885	32.143	86.385	109.802	883.672	251.923	141.811	494.537	252.139	175.074	66.711	204.746	229.991	32.852	353.375	143.685	29.790	461.227	201.383	31.488
291	2.90000	87.442	219.340	1669.785	68.442	445.353	1391.464	86.073	546.435	1041.302	191.215	527.080	806.875	35.778	86.122	1353.109	40.684	7.988	1006.345	99.515	29.485	749.247	80.347	461.140	853.873	0.327	424.753	463.492	-278.895	408.157	153.534	-344.182	356.827	154.127	-231.588	427.225	44.461	-143.079	357.346	32.324	98.618	106.955	886.010	259.970	141.259	495.158	252.078	174.401	66.109	204.878	229.552	32.869	354.338	144.202	30.331	461.570	203.157	30.856
292	2.91000	97.426	216.892	1671.793	77.885	443.593	1393.610	93.251	543.664	1042.770	196.620	524.975	807.454	47.161	84.134	1355.222	52.851	5.415	1008.973	112.956	27.317	750.793	92.699	458.394	854.865	21.632	424.989	462.955	-266.204	408.261	161.528	-329.602	355.406	166.008	-227.313	426.152	48.115	-143.719	357.651	32.394	110.352	104.669	887.616	266.895	140.461	494.738	252.412	174.865	66.533	205.660	229.444	32.032	353.749	144.552	30.130	461.484	203.315	31.000
293	2.92000	107.403	214.575	1673.674	87.361	442.040	1395.661	100.334	541.164	1044.521	201.556	523.225	808.060	58.434	82.342	1357.375	65.486	2.932	1011.513	126.233	25.163	754.289	104.020	455.880	856.072	42.161	425.638	462.356	-251.923	408.481	168.388	-313.616	353.893	177.202	-222.018	425.294	52.164	-144.089	358.310	32.064	122.321	102.107	890.062	272.982	140.026	494.578	252.133	175.010	66.529	204.366	229.710	32.969	354.364	144.729	30.281	461.578	203.319	30.982
294	2.93000	117.270	212.432	1675.681	96.855	440.248	1397.859	107.855	539.027	1046.502	207.063	521.644	809.241	69.742	80.496	1359.852	78.102	0.735	1013.920	139.646	23.163	756.946	114.309	453.836	857.784	63.000	426.035	462.619	-236.533	408.602	175.060	-296.736	352.138	190.015	-214.416	425.057	57.367	-141.334	358.927	30.356	133.663	99.875	892.761	277.472	138.814	493.760	252.135	174.905	66.628	204.130	229.309	32.776	354.324	145.106	30.683	461.680	204.349	30.830
295	2.94000	127.199	210.425	1677.418	106.150	438.606	1399.908	115.019	537.037	1048.601	212.535	520.300	810.638	81.087	78.811	1362.201	91.612	-1.542	1017.137	153.891	21.223	760.020	124.340	451.477	859.488	84.027	426.544	461.997	-221.354	408.409	182.362	-281.031	352.340	199.456	-204.495	424.958	64.219	-133.417	360.814	31.574	144.257	97.880	894.886	282.181	138.345	493.266	252.088	174.841	66.418	203.920	229.095	32.857	354.530	145.249	30.407	461.662	204.557	30.901
296	2.95000	136.864	208.534	1679.302	115.352	437.101	1401.836	122.424	535.349	1050.565	218.077	519.081	811.673	92.451	77.079	1364.655	103.496	-4.234	1019.056	167.953	19.062	763.631	133.639	448.779	860.887	104.235	426.805	461.438	-205.038	407.683	190.150	-265.611	353.555	209.291	-191.845	423.893	72.253	-120.513	363.574	35.943	155.052	95.905	896.965	284.621	136.797	493.301	251.694	174.915	66.751	204.140	229.035	32.911	354.397	145.168	30.537	461.523	204.688	30.970
297	2.96000	146.711	206.711	1680.993	124.588	435.603	1403.802	129.863	533.879	1052.479	224.061	518.165	812.739	103.903	75.516	1366.889	116.265	-6.852	1022.576	181.807	17.321	765.562	142.791	446.260	862.146	125.178	426.707	462.478	-187.657	406.710	197.897	-247.507	352.727	217.918	-175.700	423.506	80.305	-103.695	365.045	39.271	164.839	94.233	898.582	288.186	136.308	492.993	251.594	174.985	67.012	204.088	229.061	32.972	354.337	145.346	30.290	461.783	204.886	30.969
298	2.97000	156.505	205.067	1682.580	133.742	434.142	1405.292	136.997	532.524	1054.024	230.475	517.431	814.134	115.582	74.019	1369.260	128.885	-9.388	1024.548	196.566	15.047	769.224	151.869	443.920	863.090	145.289	426.488	464.814	-168.657	405.473	203.710	-230.137	351.814	224.652	-156.876	422.916	87.234	-85.446	365.216	42.950	174.342	92.544	900.438	291.153	135.727	492.865	251.331	175.182	67.132	204.015	229.037	32.901	354.691	145.162	30.631	461.574	204.923	30.674
299	2.98000	166.346	203.413	1684.142	142.943	432.900	1406.849	144.097	531.192	1055.582	236.669	516.977	815.660	127.343	72.587	1371.453	141.401	-12.165	1027.179	210.386	12.701	773.078	160.483	442.048	864.597	165.263	426.535	467.157	-149.340	404.190	209.097	-209.326	348.409	227.842	-136.230	421.589	92.610	-65.051	364.349	48.678	180.795	92.417	901.196	293.805	135.053	492.663	251.078	175.107	67.343	203.926	229.094	33.003	354.497	145.194	30.483	461.733	205.102	30.854
